cpu_usage,gpu_wrk_util,avg_mem,max_mem,avg_gpu_wrk_mem,max_gpu_wrk_mem,read,write,read_count,write_count,memory_pressure,is_init_failure,cpu_gpu_imbalance,gpu_stress_score,gpu_/dev/nvidia1,gpu_/dev/nvidia2,gpu_/dev/nvidia3,gpu_/dev/nvidia4,gpu_/dev/nvidia5,gpu_/dev/nvidia6,gpu_/dev/nvidia7
49.0,0.0,0.0087890625,0.0087890625,0.0,0.0,1164040.5,342921.0,2140.5,347.5,0.0,1,49.0,0.0,0,0,0,0,0,0,0
16.878048780487806,0.0,0.4971400669642857,1.0556640625,0.0618024553571428,0.4326171875,88015436.38636364,77136898.95454545,6186.431818181818,3810.545454545456,0.12431598147888301,1,16.878048780487806,0.0,1,0,0,0,0,0,0
60.25,0.0,0.41748046875,0.673828125,0.0594618055555555,0.1337890625,64648281.8,65991371.7,10368.6,3916.0,0.14243014944769317,1,60.25,0.0,0,1,0,0,0,0,0
57.71428571428572,0.0,0.48095703125,0.8310546875,0.0891927083333333,0.1337890625,58271432.8,66865920.1,8343.3,3971.1,0.18544839255499146,1,57.71428571428572,0.0,0,0,1,0,0,0,0
180.65393258426965,8.248502994011975,16.093612579528447,19.0830078125,1.1075432143525448,1.3427734375,1535749637.1532135,2389009056.393872,27399.973094170404,27277.655455904336,0.06881880677066705,0,172.40542959025768,0.0005706328711154724,0,0,0,0,1,0,0
177.64119850187262,7.7591623036649215,15.741152460703592,18.5712890625,1.1726170998504113,1.3427734375,1466367648.054559,2281004532.286248,27459.203288490284,25860.813901345293,0.07449372609646893,0,169.88203619820771,0.000568318806713314,0,0,0,0,0,0,0
7.465116279069767,0.0,0.6069661458333333,0.7509765625,0.0843452785326086,0.1337890625,12428318.319148935,15941150.29787234,1767.6170212765958,1163.085106382979,0.13896208068871269,1,7.465116279069767,0.0,0,0,0,1,0,0,0
154.82161187404634,5.6458679977814725,5.6094599125901405,6.060546875,2.8602290182594983,2.8818359375,2383327.7948149177,686494.6041868847,206.5641203382781,208.3709968113129,0.5098938334223342,0,149.17574387626487,0.0010086778797007963,0,0,0,0,0,1,0
105.0,0.0,0.9795983355978264,1.443359375,0.1221552309782608,0.1337890625,11997086.020833336,13745828.604166664,1868.979166666667,885.8958333333335,0.12469930433651896,1,105.0,0.0,0,1,0,0,0,0,0
75.42857142857143,0.0,0.9858984375,1.9345703125,0.1962316176470588,0.6826171875,19206837.730769232,14646004.73076923,1977.0192307692307,7111.653846153847,0.19903836965667043,1,75.42857142857143,0.0,1,0,0,0,0,0,0
86.0,0.0,0.6534598214285714,1.154296875,0.1936848958333333,0.2490234375,71375702.11111109,73224066.33333333,10450.888888888889,4377.88888888889,0.2963990890976373,1,86.0,0.0,0,0,0,0,0,0,0
71.53846153846153,0.1025641025641025,1.0403395432692308,1.97265625,0.2531300080128205,0.6845703125,24923370.85365854,19054456.51219512,2469.19512195122,9029.243902439024,0.24331480010590412,1,71.43589743589743,1.6216606762921204e-06,0,0,0,0,0,0,1
21.11764705882353,0.0,0.4112356085526316,0.7099609375,0.0,0.0,23102898.0,30096791.57142857,3832.142857142857,2320.6666666666665,0.0,1,21.11764705882353,0.0,0,0,0,1,0,0,0
175.50776583034644,5.424821002386635,8.83533384919451,15.6455078125,0.7182791989856803,1.3427734375,8477362.748809524,840548.905952381,564.4380952380952,433.1107142857143,0.08129621486245972,0,170.0829448279598,0.0002433882851892521,0,1,0,0,0,0,0
15.6,0.0,0.2141462053571428,0.251953125,0.0,0.0,48290520.22222222,66776571.88888889,6883.555555555556,4455.333333333333,0.0,1,15.6,0.0,0,0,1,0,0,0,0
25.2,0.0,0.2361886160714285,0.296875,0.0,0.0,59725933.22222222,78521553.66666667,7221.0,4662.0,0.0,1,25.2,0.0,0,0,0,0,0,1,0
10.4,0.0,0.2541852678571428,0.2978515625,0.0,0.0,56225610.88888889,73377508.55555555,6882.0,4337.777777777777,0.0,1,10.4,0.0,0,0,0,0,0,0,1
65.2,0.0,0.3323102678571428,0.4375,0.0,0.0,62408295.22222222,73503035.77777778,9508.666666666666,4351.555555555556,0.0,1,65.2,0.0,1,0,0,0,0,0,0
101.5,0.0,1.1365094866071428,1.6982421875,0.0981119791666666,0.1337890625,40213132.0625,41339335.3125,6346.8125,2487.125,0.08632746169111474,1,101.5,0.0,0,1,0,0,0,0,0
86.61538461538461,0.0,0.8455729166666667,1.255859375,0.0802734375,0.1337890625,38185797.52941176,38908464.4117647,6553.117647058823,2353.6470588235293,0.09493378503233754,1,86.61538461538461,0.0,0,0,0,1,0,0,0
83.0,0.0,0.42109375,0.52734375,0.0,0.0,100993459.85714284,130761291.42857143,13699.142857142857,8535.142857142857,0.0,1,83.0,0.0,0,0,0,0,0,0,1
18.0,0.0,0.2369140625,0.296875,0.0,0.0,71976955.71428572,94299585.57142857,8249.857142857143,5593.571428571428,0.0,1,18.0,0.0,0,0,0,0,1,0,0
64.93975903614458,0.0,2.401849724264706,7.591796875,0.1135197129360465,0.1650390625,83598151.96551724,8449741.206896551,8430.977011494253,3571.2183908045977,0.04726345357463987,1,64.93975903614458,0.0,0,1,0,0,0,0,0
111.20338983050848,0.0,2.620133196721312,7.833984375,0.1113761526639344,0.2138671875,111359495.12698412,11442757.968253968,5996.587301587301,3224.4444444444453,0.04250782090135886,1,111.20338983050848,0.0,0,0,1,0,0,0,0
13.333333333333336,0.0,0.2943359375,0.2958984375,0.0,0.0,71998137.57142857,94302129.71428572,8350.714285714286,5557.428571428572,0.0,1,13.333333333333336,0.0,0,1,0,0,0,0,0
133.8108108108108,0.1,1.4852263621794877,4.3271484375,0.2240478515625,0.8505859375,108267261.68292683,16948202.609756093,15239.024390243903,6712.658536585366,0.15085097953265666,1,133.7108108108108,1.3994640679130101e-06,0,0,0,0,0,0,0
15.0,0.0,0.2373046875,0.296875,0.0,0.0,72134589.71428572,94326545.14285716,8537.142857142857,5551.142857142857,0.0,1,15.0,0.0,0,1,0,0,0,0,0
66.2,0.0,0.2919921875,0.2919921875,0.0,0.0,84836811.33333333,109949374.0,9927.0,6379.0,0.0,1,66.2,0.0,0,0,0,0,0,0,0
29.875,0.0,0.4134521484375,0.8779296875,0.0891927083333333,0.1337890625,57286875.0,65945483.4,8286.8,3975.6,0.21572679854345037,1,29.875,0.0,0,1,0,0,0,0,0
118.07692307692308,2.218487394957984,5.602547338453392,13.2919921875,0.330734637605042,0.8427734375,227698311.775,253835693.4333333,9922.708333333334,8509.466666666667,0.059032903717747574,0,115.85843568196509,4.5830818617447056e-05,0,0,0,0,0,0,0
117.90598290598292,0.907563025210084,5.432195113877118,13.6455078125,0.3091517857142857,0.8427734375,251226037.71666667,282467140.85833335,7888.225,8797.416666666666,0.05691102385562785,1,116.99841988077284,1.7525463873446588e-05,0,0,0,1,0,0,0
124.2991452991453,3.4789915966386555,5.854889433262713,13.7080078125,0.3309315913865546,0.8427734375,290927810.23333335,332039471.93333334,10231.408333333333,10682.816666666668,0.056522261463465194,0,120.82015370250664,7.191385596594274e-05,0,1,0,0,0,0,0
54.33333333333334,0.0,0.253125,0.322265625,0.0,0.0,72945063.14285715,94084679.71428572,8885.857142857143,5540.857142857143,0.0,1,54.33333333333334,0.0,1,0,0,0,0,0,0
70.21212121212122,0.0,0.79541015625,1.8818359375,0.0802734375,0.1337890625,22975090.40540541,18357734.37837838,7419.513513513513,4389.783783783784,0.10092081031307551,1,70.21212121212122,0.0,0,1,0,0,0,0,0
60.125,0.0,0.661376953125,1.0595703125,0.0944393382352941,0.1337890625,31893612.5,36671205.55555555,4615.38888888889,2233.777777777778,0.14279200052113866,1,60.125,0.0,0,0,0,0,1,0,0
161.70634920634922,0.0,21.913008432539687,84.0478515625,0.1624477116141732,0.2158203125,313347877.796875,5619954.4453125,5775.9921875,2127.3984375,0.007413300282992943,1,161.70634920634922,0.0,0,1,0,0,0,0,0
53.46153846153846,0.0,0.5612444196428572,1.01171875,0.0891927083333333,0.1337890625,35992467.5,41311961.3125,5363.4375,2508.125,0.15891954594415436,1,53.46153846153846,0.0,0,0,0,0,0,0,1
24.4,0.0,0.3594898897058823,0.5224609375,0.0,0.0,30383805.42105263,34881870.631578945,4585.736842105263,2129.0,0.0,1,24.4,0.0,0,0,0,0,0,0,0
